x-tokens,x-types,y-types,s1/sum(s),frag, xy, yx,joint,mi,nmi,x,y,x/joint,y/joint,xy/joint,yx/joint,targets_control,age,direction,punctuation,lemmas,normalize_cols,targets_name
77677,653,1998,0.215,0.785,5.777,3.498,11.194,1.918,0.354,7.695793455076492,5.416367377254385,0.688,0.484,0.516,0.312,False,000091-001091days,l,keep,False,False,sem-no_numbers_no_times
77677,653,2150,0.352,0.648,6.369,3.6,11.296,1.327,0.269,7.695793455076492,4.926770186171855,0.681,0.436,0.564,0.319,False,000091-001091days,r,keep,False,False,sem-no_numbers_no_times
77677,679,2571,0.164,0.836,5.875,3.693,11.688,2.121,0.365,7.995392039214032,5.813704021144178,0.684,0.497,0.503,0.316,False,001144-002144days,l,keep,False,False,sem-no_numbers_no_times
77677,679,2727,0.296,0.704,6.503,3.972,11.967,1.493,0.273,7.995392039214032,5.464138684814165,0.668,0.457,0.543,0.332,False,001144-002144days,r,keep,False,False,sem-no_numbers_no_times
104394,688,3494,0.095,0.905,4.902,4.099,12.064,3.063,0.428,7.965014367347749,7.16200965125933,0.66,0.594,0.406,0.34,True,000091-001091days,l,keep,False,False,sem-no_numbers_no_times
104394,688,3925,0.108,0.892,5.161,4.176,12.141,2.804,0.402,7.965014367347749,6.980280382222389,0.656,0.575,0.425,0.344,True,000091-001091days,r,keep,False,False,sem-no_numbers_no_times
104394,662,3788,0.14,0.86,4.737,4.35,12.111,3.024,0.41,7.761708598800045,7.373975482274564,0.641,0.609,0.391,0.359,True,001144-002144days,l,keep,False,False,sem-no_numbers_no_times
104394,662,4359,0.135,0.865,5.074,4.49,12.252,2.688,0.374,7.761708598800045,7.1780468817430325,0.633,0.586,0.414,0.367,True,001144-002144days,r,keep,False,False,sem-no_numbers_no_times
77677,653,1998,0.07,0.93,5.777,3.498,11.194,1.918,0.354,7.695793455076492,5.416367377254385,0.688,0.484,0.516,0.312,False,000091-001091days,l,keep,False,True,sem-no_numbers_no_times
77677,653,2150,0.096,0.904,6.369,3.6,11.296,1.327,0.269,7.695793455076492,4.926770186171855,0.681,0.436,0.564,0.319,False,000091-001091days,r,keep,False,True,sem-no_numbers_no_times
77677,679,2571,0.071,0.929,5.875,3.693,11.688,2.121,0.365,7.995392039214032,5.813704021144178,0.684,0.497,0.503,0.316,False,001144-002144days,l,keep,False,True,sem-no_numbers_no_times
77677,679,2727,0.101,0.899,6.503,3.972,11.967,1.493,0.273,7.995392039214032,5.464138684814165,0.668,0.457,0.543,0.332,False,001144-002144days,r,keep,False,True,sem-no_numbers_no_times
104394,688,3494,0.036,0.964,4.902,4.099,12.064,3.063,0.428,7.965014367347749,7.16200965125933,0.66,0.594,0.406,0.34,True,000091-001091days,l,keep,False,True,sem-no_numbers_no_times
104394,688,3925,0.061,0.939,5.161,4.176,12.141,2.804,0.402,7.965014367347749,6.980280382222389,0.656,0.575,0.425,0.344,True,000091-001091days,r,keep,False,True,sem-no_numbers_no_times
104394,662,3788,0.035,0.965,4.737,4.35,12.111,3.024,0.41,7.761708598800045,7.373975482274564,0.641,0.609,0.391,0.359,True,001144-002144days,l,keep,False,True,sem-no_numbers_no_times
104394,662,4359,0.061,0.939,5.074,4.49,12.252,2.688,0.374,7.761708598800045,7.1780468817430325,0.633,0.586,0.414,0.367,True,001144-002144days,r,keep,False,True,sem-no_numbers_no_times
77677,653,1857,0.215,0.785,5.79,3.487,11.183,1.905,0.353,7.695793455076492,5.392543696769709,0.688,0.482,0.518,0.312,False,000091-001091days,l,keep,True,False,sem-no_numbers_no_times
77677,653,1767,0.352,0.648,6.441,3.539,11.235,1.255,0.262,7.695793455076492,4.7939426071446585,0.685,0.427,0.573,0.315,False,000091-001091days,r,keep,True,False,sem-no_numbers_no_times
77677,680,2339,0.164,0.836,5.9,3.675,11.67,2.095,0.363,7.995457517622405,5.769990809920017,0.685,0.494,0.506,0.315,False,001144-002144days,l,keep,True,False,sem-no_numbers_no_times
77677,680,2151,0.295,0.705,6.6,3.892,11.888,1.395,0.264,7.995457517622405,5.287748729171654,0.673,0.445,0.555,0.327,False,001144-002144days,r,keep,True,False,sem-no_numbers_no_times
104394,713,2917,0.099,0.901,5.041,3.941,11.888,2.906,0.424,7.947019742958979,6.846751226663313,0.669,0.576,0.424,0.331,True,000091-001091days,l,keep,True,False,sem-no_numbers_no_times
104394,713,3128,0.11,0.89,5.308,4.121,12.068,2.639,0.39,7.947019742958979,6.76004978213121,0.659,0.56,0.44,0.341,True,000091-001091days,r,keep,True,False,sem-no_numbers_no_times
104394,691,3106,0.142,0.858,4.873,4.18,11.9,2.848,0.405,7.72084103380351,7.027470908344479,0.649,0.591,0.409,0.351,True,001144-002144days,l,keep,True,False,sem-no_numbers_no_times
104394,691,3402,0.148,0.852,5.221,4.409,12.13,2.5,0.362,7.72084103380351,6.908485738753333,0.637,0.57,0.43,0.363,True,001144-002144days,r,keep,True,False,sem-no_numbers_no_times
77677,653,1857,0.071,0.929,5.79,3.487,11.183,1.905,0.353,7.695793455076492,5.392543696769709,0.688,0.482,0.518,0.312,False,000091-001091days,l,keep,True,True,sem-no_numbers_no_times
77677,653,1767,0.098,0.902,6.441,3.539,11.235,1.255,0.262,7.695793455076492,4.7939426071446585,0.685,0.427,0.573,0.315,False,000091-001091days,r,keep,True,True,sem-no_numbers_no_times
77677,680,2339,0.072,0.928,5.9,3.675,11.67,2.095,0.363,7.995457517622405,5.769990809920017,0.685,0.494,0.506,0.315,False,001144-002144days,l,keep,True,True,sem-no_numbers_no_times
77677,680,2151,0.102,0.898,6.6,3.892,11.888,1.395,0.264,7.995457517622405,5.287748729171654,0.673,0.445,0.555,0.327,False,001144-002144days,r,keep,True,True,sem-no_numbers_no_times
104394,713,2917,0.038,0.962,5.041,3.941,11.888,2.906,0.424,7.947019742958979,6.846751226663313,0.669,0.576,0.424,0.331,True,000091-001091days,l,keep,True,True,sem-no_numbers_no_times
104394,713,3128,0.062,0.938,5.308,4.121,12.068,2.639,0.39,7.947019742958979,6.76004978213121,0.659,0.56,0.44,0.341,True,000091-001091days,r,keep,True,True,sem-no_numbers_no_times
104394,691,3106,0.037,0.963,4.873,4.18,11.9,2.848,0.405,7.72084103380351,7.027470908344479,0.649,0.591,0.409,0.351,True,001144-002144days,l,keep,True,True,sem-no_numbers_no_times
104394,691,3402,0.061,0.939,5.221,4.409,12.13,2.5,0.362,7.72084103380351,6.908485738753333,0.637,0.57,0.43,0.363,True,001144-002144days,r,keep,True,True,sem-no_numbers_no_times
77677,653,2732,0.206,0.794,5.495,3.73,11.426,2.201,0.371,7.695793455076492,5.931107572624736,0.674,0.519,0.481,0.326,False,000091-001091days,l,remove,False,False,sem-no_numbers_no_times
77677,653,3514,0.098,0.902,5.635,5.955,13.651,2.06,0.257,7.695793455076492,8.01577401202213,0.564,0.587,0.413,0.436,False,000091-001091days,r,remove,False,False,sem-no_numbers_no_times
77677,679,3066,0.163,0.837,5.729,3.784,11.78,2.267,0.375,7.995392039214032,6.051047594135927,0.679,0.514,0.486,0.321,False,001144-002144days,l,remove,False,False,sem-no_numbers_no_times
77677,679,3790,0.099,0.901,5.998,5.917,13.912,1.997,0.252,7.995392039214032,7.9136636695044515,0.575,0.569,0.431,0.425,False,001144-002144days,r,remove,False,False,sem-no_numbers_no_times
104394,688,4668,0.056,0.944,4.56,4.87,12.835,3.405,0.411,7.965014367347749,8.275159037213468,0.621,0.645,0.355,0.379,True,000091-001091days,l,remove,False,False,sem-no_numbers_no_times
104394,688,4721,0.066,0.934,4.862,5.298,13.263,3.103,0.369,7.965014367347749,8.40031240489486,0.601,0.633,0.367,0.399,True,000091-001091days,r,remove,False,False,sem-no_numbers_no_times
104394,662,4957,0.064,0.936,4.581,5.127,12.889,3.181,0.383,7.761708598800045,8.308048347389617,0.602,0.645,0.355,0.398,True,001144-002144days,l,remove,False,False,sem-no_numbers_no_times
104394,662,4907,0.116,0.884,4.948,5.496,13.258,2.813,0.339,7.761708598800045,8.309526494108212,0.585,0.627,0.373,0.415,True,001144-002144days,r,remove,False,False,sem-no_numbers_no_times
77677,653,2732,0.061,0.939,5.495,3.73,11.426,2.201,0.371,7.695793455076492,5.931107572624736,0.674,0.519,0.481,0.326,False,000091-001091days,l,remove,False,True,sem-no_numbers_no_times
77677,653,3514,0.03,0.97,5.635,5.955,13.651,2.06,0.257,7.695793455076492,8.01577401202213,0.564,0.587,0.413,0.436,False,000091-001091days,r,remove,False,True,sem-no_numbers_no_times
77677,679,3066,0.065,0.935,5.729,3.784,11.78,2.267,0.375,7.995392039214032,6.051047594135927,0.679,0.514,0.486,0.321,False,001144-002144days,l,remove,False,True,sem-no_numbers_no_times
77677,679,3790,0.035,0.965,5.998,5.917,13.912,1.997,0.252,7.995392039214032,7.9136636695044515,0.575,0.569,0.431,0.425,False,001144-002144days,r,remove,False,True,sem-no_numbers_no_times
104394,688,4668,0.026,0.974,4.56,4.87,12.835,3.405,0.411,7.965014367347749,8.275159037213468,0.621,0.645,0.355,0.379,True,000091-001091days,l,remove,False,True,sem-no_numbers_no_times
104394,688,4721,0.025,0.975,4.862,5.298,13.263,3.103,0.369,7.965014367347749,8.40031240489486,0.601,0.633,0.367,0.399,True,000091-001091days,r,remove,False,True,sem-no_numbers_no_times
104394,662,4957,0.028,0.972,4.581,5.127,12.889,3.181,0.383,7.761708598800045,8.308048347389617,0.602,0.645,0.355,0.398,True,001144-002144days,l,remove,False,True,sem-no_numbers_no_times
104394,662,4907,0.028,0.972,4.948,5.496,13.258,2.813,0.339,7.761708598800045,8.309526494108212,0.585,0.627,0.373,0.415,True,001144-002144days,r,remove,False,True,sem-no_numbers_no_times
77677,653,2454,0.206,0.794,5.524,3.713,11.409,2.172,0.369,7.695793455076492,5.884998206359172,0.675,0.516,0.484,0.325,False,000091-001091days,l,remove,True,False,sem-no_numbers_no_times
77677,653,2971,0.102,0.898,5.749,5.835,13.531,1.947,0.25,7.695793455076492,7.782199174401014,0.569,0.575,0.425,0.431,False,000091-001091days,r,remove,True,False,sem-no_numbers_no_times
77677,680,2737,0.163,0.837,5.765,3.763,11.759,2.231,0.372,7.995457517622405,5.993990209061324,0.68,0.51,0.49,0.32,False,001144-002144days,l,remove,True,False,sem-no_numbers_no_times
77677,680,3082,0.105,0.895,6.136,5.782,13.778,1.859,0.243,7.995457517622405,7.641320642809925,0.58,0.555,0.445,0.42,False,001144-002144days,r,remove,True,False,sem-no_numbers_no_times
